,collocate,raw_frequency,MI
774,Show,1,3.7983502538353715
775,Sidwell,1,3.528973507481954
776,Signor,1,2.975226888819826
777,Since,1,2.218363893873773
778,Sing,1,4.821053579318157
779,Sir,3,0.9757078327391661
780,Slightly,1,5.462907465490551
781,Smiling,1,5.645229022284506
782,Smith,1,2.1438846920174117
783,So,8,1.8163702581171288
784,Society,1,2.8565209181648417
785,Soft,1,5.462907465490551
786,Some,4,2.4603237169874586
787,Something,1,2.139671625298108
788,Sometimes,1,2.073445340046817
789,Sorell,1,4.076613104370661
790,Southern,2,4.546616733616396
791,Spaniard,1,3.417367475486397
792,St,7,2.732412627629323
793,Star,1,3.9588300687142772
794,Steinmetz,3,4.219713948011334
795,Stephen,1,2.0337707151391546
796,Stephenson,1,4.2006657530406395
797,Steyne,1,4.253947119653576
798,Still,1,1.4754678207776513
799,Street,3,2.5326029972590156
800,Strozzi,1,7.947814115278552
801,Style,1,7.360027450376433
802,Such,1,1.5359958475686548
803,Suddenly,3,2.868482289896061
804,Sunday,2,2.189543455338281
805,Supper,1,5.175225393038771
806,Surely,1,2.0150385645192492
807,Susy,1,3.0249177354903027
808,Suède,1,8.864104847152706
809,Swedenborgian,1,8.170957666592761
810,THE,1,0.8813471451415937
811,Talbot,1,4.035791109850406
812,Teasdale,1,9.557252027712652
813,Tell,1,1.393026375446825
814,Temperance,1,5.462907465490551
815,Temple,1,2.0728833844265213
816,That,12,1.8289462891371957
817,The,98,2.1147593049182114
818,Their,4,2.9923392323595714
819,Then,4,0.49625308523583267
820,There,22,2.006471300301438
821,They,25,2.2977981663653178
822,This,10,1.8409248667551525
823,Those,1,2.0278455698756397
824,Thou,1,1.9523575469010321
825,Three,2,2.90697297912523
826,Threed,1,9.557252027712652
827,Through,1,2.5370613194007268
828,Tinsel,1,9.557252027712652
829,Tis,1,2.565155600296764
830,Tito,1,2.682019940436075
831,Tittens,1,7.254666934718607
832,To,12,2.3806153057424515
833,Tom,4,2.3575736820214797
834,Tony,1,3.6600981600759113
